REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2015,2016A000235,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,55209.0,False,False,False,True,False,1
2015,2016A000235,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,47009.0,False,False,False,True,False,0
2015,2016A000235,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,48040.0,False,False,False,True,False,1
2015,2016A000235,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,37060.0,False,False,False,True,False,0
2015,2016A000235,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,44215.0,False,False,False,True,False,1
2015,2016A000235,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,35653.0,False,False,False,True,False,0
2015,2016A000235,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,55816.0,False,False,False,True,False,1
2015,2016A000235,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,42131.0,False,False,False,True,False,0
2015,2016A000235,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,60842.0,False,False,False,True,False,1
2015,2016A000235,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,52832.0,False,False,False,True,False,0
2016,2016A000235,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,55169.0,False,False,False,True,False,1
2016,2016A000235,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,47084.0,False,False,False,True,False,0
2016,2016A000235,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,48265.0,False,False,False,True,False,1
2016,2016A000235,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,37422.0,False,False,False,True,False,0
2016,2016A000235,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,44259.0,False,False,False,True,False,1
2016,2016A000235,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,35871.0,False,False,False,True,False,0
